method,k,MSE,bits_per_window,time_s
dct,4,0.1624404453402091,84,0.03839707374572754
dct,8,0.08674313616577024,168,0.03422379493713379
dct,16,0.02317435193012701,336,0.03426074981689453
dct,32,6.160781986708534e-15,672,0.03475618362426758
