method,prep,value_bits,MSE,bits_per_window,time_s,amin,amax
gzip,raw,16,0.0,264.04336043360433,0.0014224052429199219,-4.051746845245361,3.1478657722473145
brotli,raw,16,0.0,258.83468834688347,0.0026443004608154297,-4.051746845245361,3.1478657722473145
gzip,delta,16,0.9691033363342285,251.33333333333334,0.002216339111328125,-3.5920217037200928,5.304315567016602
brotli,delta,16,0.9691033363342285,249.98915989159892,0.0021686553955078125,-3.5920217037200928,5.304315567016602
